Potential Duplicate,id,title,title_arabic,title_french,country_id,cultural_context_id,audio_url,audio_duration,audio_file_size,audio_format,audio_bitrate,audio_sample_rate,description,description_arabic,description_french,lyrics,lyrics_arabic,lyrics_french,tags,chant_type,football_team,tournament,historical_significance,is_official,is_traditional,is_verified,verification_notes,verified_by,verified_at,copyright_status,copyright_holder,license_type,license_expires_at,attribution_required,creator_user_id,community_submitted,community_notes,play_count,download_count,share_count,like_count,average_rating,rating_count,status,moderation_notes,moderated_by,moderated_at,language,dialect,region,meta_title,meta_description,slug,recorded_date,uploaded_at,created_at,updated_at,audio_bucket_url,artist,year,hashtags,viral_moment_en,viral_moment_ar,viral_moment_fr,viral_moment_pt,youtube_url
False,c71418e7-57cb-4f59-a1cb-9b8b0f8e47d5,One Two Three Viva l'Algérie,,,c0aa2c15-de2e-42a9-b8ae-8f1aebebc9b0,,https://www.fanchants.com/media/chants/full/download/1-2-3-viva-l-algerie-fanchants-free.mp3,48,,mp3,,,,,,"One, two, three! Viva l'Algérie! Les Fennecs! Green and white forever!",,,"[""CAN2025"",""Algeria"",""Fennecs"",""Classic"",""Iconic""]",Stadium Chant,Algeria National Team,,,False,False,True,,,,,,,,,,False,,0,0,0,0,0.0,0,active,,,,French/Arabic,,,,,,,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,,,,[],,,,,
False,15622ff2-76c5-429e-9eb4-49e748b9aacd,3aychine 3icha Mehboula,,,fe8ca458-8768-4981-8d1b-b31a7b9ffedb,,https://www.fanchants.com/media/chants/full/download/3aychine-3icha-mehboula-fanchants-free.mp3,48,,mp3,,,,,,Aychine icha mehboula! Dima Maghrib! Yalla yalla ya Atlas! Morocco pride!,,,"[""CAN2025"",""Morocco"",""Traditional"",""Raja"",""Passion""]",Stadium Chant,Raja Casablanca / Morocco NT,,,False,False,True,,,,,,,,,,False,,0,0,0,0,0.0,0,active,,,,Darija,,,,,,,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,,,,[],,,,,
False,2beaa11b-c724-40e1-8a9b-13fd1042cb8c,Allez Les Fennecs,,,c0aa2c15-de2e-42a9-b8ae-8f1aebebc9b0,,https://www.fanchants.com/media/chants/full/download/allez-allez-allez-fanchants-free.mp3,45,,mp3,,,,,,Allez! Allez! Les Fennecs! Algeria strong! Desert warriors!,,,"[""CAN2025"",""Algeria"",""Fennecs"",""Warriors""]",Stadium Chant,Algeria National Team,,,False,False,False,,,,,,,,,,False,,0,0,0,0,0.0,0,active,,,,French,,,,,,,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,,,,[],,,,,
False,28995d9d-47c0-4765-b351-12fb1c1c0fdc,Allez Cameroun,,,d55ebd0f-af76-4c7d-bf58-f7dcbd8aa26b,,https://www.fanchants.com/media/chants/full/download/allez-cameroun-fanchants-free.mp3,40,,mp3,,,,,,Allez! Allez Cameroun! Lions roar! Red green yellow!,,,"[""CAN2025"",""Cameroon"",""Lions"",""Pride""]",Stadium Chant,Cameroon National Team,,,False,False,False,,,,,,,,,,False,,0,0,0,0,0.0,0,active,,,,French,,,,,,,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,,,,[],,,,,
False,9dc5a721-7ad6-4122-87c4-fd9dc81a4f58,Allez Ghana,,,345375af-1ee4-44f2-afe4-4d1288020bc3,,https://www.fanchants.com/media/chants/full/download/allez-ghana-fanchants-free.mp3,38,,mp3,,,,,,Allez! Ghana! Allez! Black Stars rising! Ghana power!,,,"[""CAN2025"",""Ghana"",""BlackStars"",""Power""]",Stadium Chant,Ghana National Team,,,False,False,False,,,,,,,,,,False,,0,0,0,0,0.0,0,active,,,,English/French,,,,,,,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,,,,[],,,,,
False,5c93f8c5-9924-40e8-ac87-dcbe9c249654,Oh Tunisia,,,e0eeb46f-ec13-45cf-861e-c34c4f898859,,https://www.fanchants.com/media/chants/full/download/allez-l-aigles-fanchants-free.mp3,35,,mp3,,,,,,"Oh Tunisia! 
    Mon amour!
    Nous sommes fidèles!
    Jusqu'à la mort!",,,"[""CAN2025"",""Tunisia"",""Supporters""]",Stadium Chant,Tunisia National Team,,,False,False,False,,,,,,,,,,False,,0,0,0,0,0.0,0,active,,,,French/Arabic,,,,,,,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,,,,[],,,,,
False,c61e515c-02cd-4089-abf4-36b8f930ab2d,Allez Les Éléphants,,,ac7b9b97-71b5-40e8-b92e-f9db826e704f,,https://www.fanchants.com/media/chants/full/download/allez-les-elephants-fanchants-free.mp3,55,,mp3,,,,,,"Allez allez les Éléphants!
    Côte d'Ivoire!
    La patrie ou la mort!
    Nous sommes les champions!",,,"[""CAN2025"",""IvoryCoast"",""Elephants"",""Champions""]",Stadium Chant,Ivory Coast National Team,,,False,False,True,,,,,,,,,,False,,0,0,0,0,0.0,0,active,,,,French,,,,,,,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,,,,[],,,,,
False,76156ad4-225b-4c43-bb76-b8b54b8fb5d5,Lions de la Teranga,,,26d34411-c324-4502-b8b7-dac8a09dc204,,https://www.fanchants.com/media/chants/full/download/allez-senegal-fanchants-free.mp3,44,,mp3,,,,,,Senegal! Senegal! Lions de la Teranga! Champions d'Afrique!,,,"[""CAN2025"",""Senegal"",""Teranga"",""Champions""]",Stadium Chant,Senegal National Team,,,False,False,True,,,,,,,,,,False,,0,0,0,0,0.0,0,active,,,,French/Wolof,,,,,,,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,,,,[],,,,,
False,3e9cb75d-a2d9-46da-8d6e-8a847f9f3689,Bafana Bafana,,,6ec0c9c2-b251-4cac-bd9a-8de1dba302b7,,https://www.fanchants.com/media/chants/full/download/bafana-bafana-fanchants-free.mp3,45,,mp3,,,,,,"Bafana Bafana!
    We represent!
    Rainbow Nation!
    Vuvuzela sounds!",,,"[""CAN2025"",""SouthAfrica"",""Bafana"",""Modern""]",Stadium Chant,South Africa National Team,,,False,False,False,,,,,,,,,,False,,0,0,0,0,0.0,0,active,,,,English,,,,,,,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,,,,[],,,,,
False,c6aef70f-8d92-4ecc-b025-a7f4b84658e4,Baladi Baladi,,,f5bc6bba-83b6-4441-9a2d-c1d14f338b5b,,https://www.fanchants.com/media/chants/full/download/bldy-bldy-bldy-fanchants-free.mp3,50,,mp3,,,,,,Baladi! Baladi! Baladi! My country! My country! Egypt eternal! Pharaohs rise!,,,"[""CAN2025"",""Egypt"",""Pharaohs"",""National"",""Patriotic""]",Stadium Chant,Egypt National Team,,,False,False,True,,,,,,,,,,False,,0,0,0,0,0.0,0,active,,,,Arabic,,,,,,,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,2025-11-21 13:10:17.877439+00,,,,[],,,,,
